"akimid; akim; akimaciklama"
1; Agnostisizm; Agnostisizm (Türkçede bazen bilinemezcilik de denir), en yaygın ve bilinen tanımıyla, tanrı veya tanrısal varlıkların bilinemez veya varlığı ile birlikte yokluğunun da kanıtlanamaz olduğunu savunan bir felsefi görüştür. Agnostik düşünce, agnostik teizm ve agnostik ateizm örneklerinde olduğu gibi farklı felsefi düşüncelerle iç içe geçebilir. Bununla birlikte agnostik felsefe varsayımların, özellikle tanrı gibi daha yüksek bir otoritenin varlığına veya yokluğuna ilişkin teolojik varsayımların bilimsel olarak hiçbir zaman açıklanamayacağı görüşündedir. Bu fikir akımının destekçilerine agnostik (veya bilinemezci) denir. Agnostisizm kendi içinde de farklı görüşlere ayrılır. Bilinen tanımların birincisi, "Tanrı'nın ve ruhani, metafizik ve doğaüstü bir varlığın veya varlıkların bilimsel olarak hiçbir zaman kanıtlanamayacağını ve gözlemlenemedikleri için hiçbir zaman bilinemeyeceğini savunan bir görüştür." şeklindeyken ikincisi, "İnsan aklının, Tanrı'nın var olduğu inancının öğretisidir".
2; Akılcılık; Akılcılık, bilginin kaynağının akıl olduğunu, doğru bilginin ancak akıl ve düşünce ile elde edilebileceği tezini savunan felsefi yaklaşıma verilen isimdir. Buna göre, kesin ve evrensel bilgilere ancak akıl aracılığıyla ve tümdengelimli bir yöntemsel yaklaşımla ulaşılabilir. Dünya hakkındaki önemli olan bilginin yalnızca deney ötesi yöntemlerle elde edilebileceğini savunur. Akılcılık her bireyin eşit ve değişmez ussal ve mantıksal ilkelere sahip olduğunun varsayımı ile, çeşitli "a priori" ve apaçık gerçeklerin varolduğunu onaylar. Son zamanlarda, çeşitli dilbilimcilerin bazı dilbilim kavramları hakkındaki yazıları haricinde, "a priori" bilginin varlığı sıklıkla reddedilmiş, kabul edilse dahi etki alanı ve konumu daraltılmıştır.
3; Analitik Felsefe; Analitik felsefe, felsefenin ana işlevinin analiz olması gerektiğini öne süren felsefe geleneğidir. Ezici çoğunlukla Anglosfer ve İskandinav dünyasında yaygındır. Kıta felsefesi ile birlikte, çağdaş felsefede ön planda olan iki gelenekten biridir. Nadir bir kullanım olsa da, çözümleyici felsefe ismiyle de bilinir. Felsefe yaparken kullandıkları dilin analizine ve öne sürdükleri argümanların açık ve titiz olmasına önem göstermeleri, argümanlarını öne sürerken formel mantık ile matematik kullanmaları ve doğa bilimlerinden elde edilen verilerden yararlanmaları, analitik filozofların ayırt edici özelliklerindendir. Analitik felsefenin ortaya çıkışında, Frege'nin mantık üzerine olan çalışmaları ile Moore ve Russell'ın İngiliz idealizmine karşı yaptıkları eleştiriler etkili olmuştur. Gelenek içinde, ideal dil felsefesi, mantıksal atomculuk, mantıksal pozitivizm ve gündelik dil felsefesi gibi akımlar ortaya çıkmıştır. Yukarıda ismi geçen kurucu kişilere ek olarak, diğer önemli analitik filozoflar arasında, Wittgenstein, Carnap, Ayer, Anscombe, Quine, Austin, Davidson, Armstrong, Lewis, Searle, Popper, Kuhn, Rawls, Kripke ve Plantinga'nın isimleri anılabilir.
4; Anarşizm; Anarşizm, (Antik Yunanca'da an "-sız olumsuzluk eki" ve archos "yönetici" sözcüklerinden türetilmiştir, "yöneticisiz" anlamına gelir) toplumsal otoritenin, tahakkümün, erkin ve hiyerarşinin tüm biçimlerini bertaraf etmeyi savunan çeşitli politik felsefeleri ve toplumsal hareketleri tanımlayan sosyal bir terimdir. Anarşizm, her koşulda her türlü otoriteyi reddetmektir. Reddedilen bu otoritelere patriyarki ve kapitalizm de dahildir. Bu hareketler genellikle, merkezi politik yapılar, üretim araçlarının özel mülkiyeti ve ekonomik kurumlar yerine toplumsal ilişkilere dayanan gönüllü etkileşim ve özyönetimi savunur, özgürlük ve otonomi ile karakterize edilen bir toplumu arzular. Bu felsefeler, anarşi terimiyle özgür bireylerin gönüllü etkileşimine dayanan bir toplumu, bireylerin ve toplulukların alınan kararlardan etkilendikleri ölçüde söz sahibi olması düşüncesini ifade eder.
5; Aristotelesçilik; Aristoteles'in orta çağ felsefesinde de çok önemli bir rolü vardır. Aristotelesçiliğin bir biçimi bu tarihsel dönemde şekillenir. Bu dönemde, özellikle de Skolastik felsefe içinde temel dayanak noktası Aristotales felsefesidir. Hristiyan dogmaların felsefe ile temellendirilmesini hedefleyen bu dönem felsefeleri, önemli bir kaynak olarak Aristotales'i bulmuşlardır. Bundan kaynaklı olarak Aristotales denildiğinde aynı zamanda akla Skolastik felsefe gelir. Rönesans felsefesi skolastikle savaşın içinde geliştiğinden dolayı, başlangıçta Aristotales'e tepkili bir tavır geliştirir, ancak bu dönem felsefesi genel olarak antik çağ düşüncesini yeniden değerlendirmeye yöneldiğinden, Aristotales'e tümden yadsınmaz. Rönesans felsefesinin Aristotales'le ilgisi, temel yönelimi olan hümanizm ile bağlantılıdır. Hümanizm öncelikli olarak antik çağ felsefesine ait metinlerin orijinal olarak konulmasını ve öyle değerlendirilmesini hedefler. Orta Çağ felsefesinin bu bakımdan Aristotales'e kattıkları böylece ayıklanmaya çalışılmıştır.
6; Ateizm; Ateizm, tanrının ya da tanrıların varlığına olan inancın yokluğudur. Bu fikre dahil olanlara "ateist" denir. Ateistler, bazı kurumlar ve kişiler tarafından "tanrıtanımaz" olarak isimlendirilmektedir. Ateizm inanç koşullanmalarını, hayalî yaratıkları ve olayları reddeder. Ateist bakış açısıyla tanrının yanı sıra tüm metafizik inançlar ve tüm ruhanî varlıklar da reddedilir. Kelime anlamında da belirtildiği üzere ateizm, din ile ilgili bir kavram değil, tanrı ile ilgili bir kavramdır. Dinlerin varlığı, dinlerin tanımının ne olduğu, dinlerin iyi mi yoksa kötü mü olduğu ateizmin konusu ve tartışma alanı dışındadır. Bu din karşıtlığının tartışma alanıdır. Ateizm, her tür metafiziği reddettiği için, kendini metafizik ögeler üzerinden temellendiren dinlerin metafizik boyutlarını da reddeder. Yani bu, özellikle dinlere karşı sergilenen bir duruş değil, genel olarak tüm metafizik inanışlara karşı bir duruştur.
7; Absüzdizm; Absürdizm, herhangi bir yaratıcı olmadığından insanlığın evrende bir anlam bulmasına yönelik uğraşlarının boşa bir çaba olduğunu ve eninde sonunda bu anlam uğraşının başarısız olacağını söyleyen felsefi düşünce akımıdır. Absürdizm, varoluşçuluk ile bağlantılıdır fakat birbiriyle karıştırılmamalıdır. Absürdizmin kökenleri 19. yüzyıl Danimarkalı filozof Søren Kierkegaard'a dayanır. Albert Camus'nün Sisifos Söyleni'yi yayınlanmasıyla absürdizmin sınırları belirlenmiş ve tam anlamıyla ortaya çıkmıştır. II. Dünya Savaşı sırasında işgal edilen Fransa'da absürdist (saçma, uyumsuz) görüşler yaygınlık kazanmıştır.
8; Acıcılık; Acıcılık veya Dolorizm, acı kavramını yaşamın anlamına, ahlakın ve erdemin merkezine yerleştirerek hazcılık (hedonizm) öğretisinin tam karşısında yer alan fikir birliği. Julien Teppe öncülüğünde kurulan acıcılık öğretisi, insanın özgür ve güçlü bir varlık olarak yaşamını sürdürebilmesi için hazdan uzaklaşıp, acıya katlanması ve onu yüceltmesi gerektiğini öngörür. Kaynağını yoğunlukla kinizm akımından alan acıcılık, Teppe ve arkadaşlarının yayınlamış olduğu Revue Doloriste adlı dergi ile Bir Olağandışılık Savunusu: Acıcılık Manifestosu (1935) ve Acının Buyurganlığı (1936) adlı yapıtlar yoluyla tanınıp yayılmıştır.
9; Adcılık; Adcılık veya nominalizm, kavramların, sözcüklerin, tanımların, tasarımların, hatta konuşulan dillerin gerçek ya da nesnel hiçbir varlığının veya anlamının bulunmadığını öne süren felsefe anlayışı. Bu anlayışa göre, yukarıda sözü geçen, kullandığımız tüm bu sınıflandırıcı semboller insanların onlara yüklediği anlamlar doğrultusunda varlık, anlam ve değer kazanır. Başka bir deyişle tümellerin gerçek olmadığını birer addan ibaret olduklarını öne süren adcılık akımı, gerçekçilik karşıtı felsefe akımıdır. Adcılığa göre tümeller seslerden ibarettir ve bu sesler düşünceleri adlandırmak için kullanılır, onların gerçeklikleri yoktur. Tümellerin yalnızca birer imge ya da simge olarak anlaşılması mümkündür, dolayısıyla da onlara bir gerçeklik atfedilemez.
10; Agnostik Teizm; Agnostik teizm, tanrı veya tanrısal varlıklara inanan ama tanrının olup olmadığına dair bilgiye ulaşmanın mümkün olmadığını, tanrının varlığının bilinemez olduğunu savunan bir felsefi görüştür. Esasen dinsiz bir felsefe olan agnostik teizm, agnostisizm ve teizmi belli özellikleriyle birleştirdiği için bu ismi almıştır. Akıl ve mantığın tanrısal bilgiye ulaşmakta yetersiz kaldığını savunarak deizmden ayrılır. Bu düşünce "bilmek" ve "inanmak" kavramlarının arasındaki farka vurgu yapar. "Bir insanın tanrının varlığını bilemeyiz demesi ama var olduğuna inanması" manasına gelmektedir. Agnostisizm esasen tanrının varlığına dair bilinmezcilik üzerine kurulu olup bir şeye inanmayı veya inanmamayı katı olarak reddetmediği için agnostisizm bazı teistik inanışlarla uyumlu olabilir.
