"phiId; phiName; phiDate; phiAkim; phiType; phiDes"
1; Sokrates; MÖ 469 - MÖ 399; Akılcılık; Antik Çağ Felsefesi; Özel yaşamına ilişkin fazla bir şey bilinmemekle beraber Sokrates, Platon ve Ksenophon’a kadar uzanan bir geleneğe göre kendisine üç çocuk veren Ksanthippi ile evlidir. Platon ve Ksenophon’un çizdiği portreye göre basık burunlu, patlak gözlü, sarkık dudaklı ve göbeklidir. Alçakgönüllü alışkanlıkları ve felsefeden başka bir uğraşı olmadığı bilinen Sokrates, başta öğrencisi Platon olmak üzere Yunan gençleri üzerinde giderek kendisini taklit etmeye varan derecede yükselen bir etki yaratır. Onun gibi yalın ayak yürürler. Hatta bu grup özentisini alaya almak için Aristophanes Kuşlar adlı komedyasında bir terim icat eder. Bu terim Esokraton’dur.
2; Thales; MÖ 626 - MÖ 548; Akılcılık; Sokrates Öncesi Felsefe; Miletli Thales, Milet, İyonya'dan bir Antik Yunan matematikçi, astronom ve Sokrat öncesi filozoftu. İlk filozoflardan olduğu için felsefenin ve bilimin öncüsü olarak adlandırılır. İyonya Aydınlanmasının başlatıcısı olarak bilinir ve Eski Yunan'ın Yedi Bilge'sinden ilkidir. Ticaretle uğraşmış ve bu nedenle Mısır'da bulunmuştur. Günümüze ulaşmış hiçbir metni yoktur. Yaşadığı döneme ait kaynaklarda da adına rastlanamaz ancak hakkındaki bilgiler Herodot, Laertios Diogenes, Aristoteles, Theophrastus gibi antik yazarlardan edinilir. Bertrand Russell'e göre Felsefe, Thales ile başlamıştır. Platon, Theaetetus'da, Thales'den yıldızları incelerken önündeki kuyuyu görmeyen biri olarak bahseder
3; Anaksimandros; Mö 610 - Mö 546; Natüralizm; Sokrates Öncesi Felsefe; Anaksimandros (Yunanca: Ἀναξίμανδρος) Miletos'da Sokrates öncesi dönemde yaşamış İyonlu bir filozoftur. Thales'in öğrencisidir. Aynı zamanda tarihsel kaynaklara göre öğretilerini kaleme almış ilk filozoftur ve eseri Grek dilinde düzyazı olarak kaleme alınmış ilk kitaptır. Ancak yazdıklarından sadece bir cümle günümüze ulaşmıştır. Onun buluşlarıyla ilgili birincil kayıtlar sonraki yazarların bize aktardıklarıdır. (Söz konusu tek cümlede su ve ateş gibi sözlerin ortaya çıkışı, haksızlıkların cezalandırdığı insan toplumundan elde edilen mecazlarla betimlenir. Örneğin ne sıcak ne de soğuk süreklidir, ikisi de aralarındaki dengeyi korumak için ödün verirler.)
4; Ferekidis; MÖ 580 - MÖ 520; Teoloji; Batı Felsefesi; Ferekidis, (Yunanca Φερεκύδης) MÖ 600 yıllarında yaşamış yunan filozof. Siros adasından gelmektedir ve Yedi sanat'ın ortaya çıkışıyla çağdaştır, onlar üzerinde farklı yetkelere sahip sayılmaktadır. "Doğa ve Tanrılar Hakkında" yazıları bilinmektedir. Miletli Thales'in yanı sıra ünlü Pythagoras'ın öğretmenliğini yapmıştır. Diğerleri gibi o da felsefenin temellendiricilerinden biri olarak daha sonra rönesansta düşünceleri etkili olmuştur. Ünlü ressam Giorgione, her üç filozofu canlandıran bir resim yapmıştır. Bu resimde Ferekidis bir doğulu olarak resmedilir, cünkü rönesansta Siros'lu olarak değil Suriyeli olarak tanıtılmıştır.
5; Ksenofanes; MÖ 570 - MÖ 480; -; Sokrates Öncesi Felsefe; Ksenofanes (Eski Yunanca: Ξενοφάνης, MÖ 570-480). Sokrates öncesi düşünürlerden bir tanesi olan Ksenofanes Kolophonlu'dur (şimdiki İzmir-Değirmendere). Geleneklere, dolayısıyla da Yunan sporcularının yüceltilmesine, kehanetlere ve özellikle de halkının insan biçimli çoktanrıcılık anlayışına karşı çıkmıştır.
6; Pisagor; MÖ 570 - MÖ 495; Pisagorculuk; Antik Yunan Felsefesi; Sisamlı Pisagor, Antik İyonya'nın en ünlü düşünürlerinden birisidir. Yunan filozof ve Pisagorculuğun kurucusudur. Politik ve dinî öğretilerini daha çok Magna Graecia'da yayan Pisagor, önce Platon ve Aristo'nun felsefelerini sonra ise tüm Batı felsefesini etkiledi. Yaşam hikâyesinin çoğu halk efsaneleriyle gölgelendirilmiştir, fakat Sisam adasında bir mücevher oymacısı olan Mnesarchus'un oğlu olduğu neredeyse kesindir. En popüler önermesi "Pisagor teoremi"dir. Pisagor ve öğrencileri her şeyin matematikle ilgili olduğuna, sayıların nihai gerçek olduğuna, matematik aracılığıyla her şeyin tahmin edilebileceğine ve ölçülebileceğine inanmışlardır.
7; Laozi; MÖ 500; Taoizm; -; Lao Zi kimi pinyin kullanılmayan eski kaynaklarda adı Lao Tzu, Lao Tse, Laotze diye geçer. Lao Çince 'yaşlı', Zi ise 'üstad', 'bilge' anlamına gelir. Tao Düşüncesi'nin kurucusu kabul edilen önemli bir Çin düşünürüdür. Dao De Çing[1] kitabının yazarıdır. Laozi, Çin tarihi belgelerine göre milattan önce 6. yüzyılda Çuu[2] Devletinin Kuu ilinde[3] (Kǔ Xiàn), yani günümüzdeki Henan eyaletinin Lùyì[4] kasabasında doğmuştur. Bir başka görüş ise, Çin'in Yüz Düşünce Okulu ve Savaşan Beylikler Dönemi olan MÖ 4. yüzyılda yaşamış olabileceğini söyler. Ancak, önemli takipçilerinden Çuang Zi'nin ( 莊子) MÖ 4. yüzyılda yaşadığı düşünülürse bu görüşün temelleri zayıflamaktadır.
8; Konfüçyüs; MÖ 551 - MÖ 479; -; Antik Çağ Felsefesi; Konfüçyüs (Çince: 孔夫子, pinyin: Kǒng Fūzǐ yani "Üstad Kong", Latince: Confucius) ya da Kongzi (Çince: 孔子, pinyin: Kǒng Zǐ, Wade–Giles: K’ung-tzǔ), (MÖ 28 Eylül 551 - MÖ 479), Çinli filozof, eğitimci ve yazar. MÖ 551 - MÖ 479 tarihleri arasında, Doğu Zhou Hanedanlığı döneminde yaşadığı sanılmaktadır. Kong Qiu (Wade-Giles: K’ung Ch’iu) adı altında, Lu devletinin (günümüzde Shandong eyaleti olan) Qufu şehrinde doğmuş ve aynı şehirde ölmüştür.
9; Heraklitos; MÖ 535 - MÖ 475; Batı Felsefesi; Sokrates Öncesi Felsefe; Efesli Heraklitos (Grekçe: Hράκλειτος, Herakleitos), Efes'te yaşamış Sokrates öncesi Yunan filozof. Efes'in yerlisi olduğu ve babasının adının Bloson olduğu gibi detaylar dışında hayatı hakkında pek az şey bilinmektedir. Batı felsefe tarihinde dinamik bir felsefi sistem ortaya koyan ilk kişidir.
10; Miletli Anaksimenes; MÖ 585 - MÖ 525; Batı Felsefesi; Sokrates Öncesi Felsefe; Anaksimenes, doğa filozofu ve geleneksel olarak Batı dünyasının ilk filozofları kabul edilen Miletos'lu üç düşünürün sonuncusudur. Helenistik döneme ulaşabilen yazılarından günümüze kalanlar, yalnızca sonraki yazarların kendi çalışmalarına aldıkları bazı bölümlerdir. Bu nedenle Anaksimenes'in düşüncelerine ilişkin yorumlar çoğunlukla birbirleriyle çelişir.
